paper_id,year,venue,model_reported,strict_reported
2020.acl-main.403,2020,ACL,0,0
2020.acl-main.404,2020,ACL,0,0
2020.acl-main.405,2020,ACL,0,0
2020.acl-main.406,2020,ACL,0,0
2020.acl-main.407,2020,ACL,0,0
2020.acl-main.408,2020,ACL,0,0
2020.acl-main.409,2020,ACL,0,0
2020.acl-main.41,2020,ACL,0,0
2020.acl-main.410,2020,ACL,1,0
2020.acl-main.411,2020,ACL,0,0
2020.acl-main.412,2020,ACL,0,0
2020.acl-main.413,2020,ACL,0,0
2020.acl-main.414,2020,ACL,0,0
2020.acl-main.415,2020,ACL,0,0
2020.acl-main.416,2020,ACL,0,0
2020.acl-main.417,2020,ACL,0,0
2020.acl-main.418,2020,ACL,0,0
2020.acl-main.419,2020,ACL,0,0
2020.acl-main.42,2020,ACL,0,0
2020.acl-main.420,2020,ACL,0,0
2020.acl-main.421,2020,ACL,0,0
2020.acl-main.422,2020,ACL,0,0
2020.acl-main.423,2020,ACL,0,0
2020.acl-main.424,2020,ACL,0,0
2020.acl-main.425,2020,ACL,0,0
2020.acl-main.426,2020,ACL,0,0
2020.acl-main.427,2020,ACL,0,0
2020.acl-main.428,2020,ACL,0,0
2020.acl-main.429,2020,ACL,0,0
2020.acl-main.43,2020,ACL,1,0
2020.acl-main.430,2020,ACL,0,0
2020.acl-main.431,2020,ACL,0,0
2020.acl-main.432,2020,ACL,0,0
2020.acl-main.433,2020,ACL,0,0
2020.acl-main.434,2020,ACL,0,0
2020.acl-main.435,2020,ACL,0,0
2020.acl-main.436,2020,ACL,0,0
2020.acl-main.437,2020,ACL,0,0
2020.acl-main.438,2020,ACL,0,0
2020.acl-main.439,2020,ACL,0,0
2020.acl-main.44,2020,ACL,0,0
2020.acl-main.440,2020,ACL,0,0
2020.acl-main.441,2020,ACL,0,0
2020.acl-main.442,2020,ACL,0,0
2020.acl-main.443,2020,ACL,1,0
2020.acl-main.444,2020,ACL,0,0
2020.acl-main.445,2020,ACL,0,0
2020.acl-main.446,2020,ACL,0,0
2020.acl-main.447,2020,ACL,0,0
2020.acl-main.448,2020,ACL,0,0
2020.acl-main.449,2020,ACL,0,0
2020.acl-main.45,2020,ACL,0,0
2020.acl-main.450,2020,ACL,0,0
2020.acl-main.451,2020,ACL,1,0
2020.acl-main.452,2020,ACL,0,0
2020.acl-main.453,2020,ACL,0,0
2020.acl-main.454,2020,ACL,0,0
2020.acl-main.455,2020,ACL,0,0
2020.acl-main.456,2020,ACL,0,0
2020.acl-main.457,2020,ACL,0,0
2020.acl-main.458,2020,ACL,0,0
2020.acl-main.459,2020,ACL,0,0
2020.acl-main.46,2020,ACL,0,0
2020.acl-main.460,2020,ACL,1,0
2020.acl-main.461,2020,ACL,0,0
2020.acl-main.462,2020,ACL,0,0
2020.acl-main.463,2020,ACL,0,0
2020.acl-main.464,2020,ACL,0,0
2020.acl-main.465,2020,ACL,0,0
2020.acl-main.466,2020,ACL,0,0
2020.acl-main.467,2020,ACL,1,0
2020.acl-main.468,2020,ACL,0,0
2020.acl-main.469,2020,ACL,1,1
2020.acl-main.47,2020,ACL,0,0
2020.acl-main.470,2020,ACL,0,0
2020.acl-main.471,2020,ACL,1,0
2020.acl-main.472,2020,ACL,0,0
2020.acl-main.473,2020,ACL,0,0
2020.acl-main.474,2020,ACL,0,0
2020.acl-main.475,2020,ACL,0,0
2020.acl-main.476,2020,ACL,0,0
2020.acl-main.477,2020,ACL,0,0
2020.acl-main.478,2020,ACL,0,0
2020.acl-main.479,2020,ACL,0,0
2020.acl-main.48,2020,ACL,0,0
2020.acl-main.480,2020,ACL,0,0
2020.acl-main.481,2020,ACL,0,0
2020.acl-main.482,2020,ACL,0,0
2020.acl-main.483,2020,ACL,0,0
2020.acl-main.484,2020,ACL,0,0
2020.acl-main.485,2020,ACL,0,0
2020.acl-main.486,2020,ACL,0,0
2020.acl-main.487,2020,ACL,0,0
2020.acl-main.488,2020,ACL,0,0
2020.acl-main.489,2020,ACL,0,0
2020.acl-main.49,2020,ACL,0,0
2020.acl-main.490,2020,ACL,0,0
2020.acl-main.491,2020,ACL,0,0
2020.acl-main.492,2020,ACL,0,0
2020.acl-main.493,2020,ACL,0,0
2020.acl-main.494,2020,ACL,0,0
2020.acl-main.495,2020,ACL,0,0
2020.acl-main.496,2020,ACL,1,0
2020.acl-main.497,2020,ACL,0,0
2020.acl-main.498,2020,ACL,0,0
2020.acl-main.499,2020,ACL,0,0
2020.acl-main.5,2020,ACL,0,0
2020.acl-main.50,2020,ACL,0,0
2020.acl-main.500,2020,ACL,0,0
2020.acl-main.501,2020,ACL,0,0
2020.acl-main.502,2020,ACL,0,0
2020.acl-main.503,2020,ACL,0,0
2020.acl-main.504,2020,ACL,1,1
2020.acl-main.505,2020,ACL,0,0
2020.acl-main.506,2020,ACL,0,0
2020.acl-main.507,2020,ACL,0,0
2020.acl-main.508,2020,ACL,0,0
2020.acl-main.509,2020,ACL,0,0
2020.acl-main.51,2020,ACL,0,0
2020.acl-main.510,2020,ACL,1,0
2020.acl-main.511,2020,ACL,0,0
2020.acl-main.512,2020,ACL,0,0
2020.acl-main.513,2020,ACL,0,0
2020.acl-main.514,2020,ACL,0,0
2020.acl-main.515,2020,ACL,0,0
2020.acl-main.516,2020,ACL,0,0
2020.acl-main.517,2020,ACL,0,0
2020.acl-main.518,2020,ACL,0,0
2020.acl-main.519,2020,ACL,0,0
2020.acl-main.52,2020,ACL,0,0
2020.acl-main.520,2020,ACL,0,0
2020.acl-main.521,2020,ACL,0,0
2020.acl-main.522,2020,ACL,1,1
2020.acl-main.523,2020,ACL,1,0
2020.acl-main.524,2020,ACL,0,0
2020.acl-main.525,2020,ACL,0,0
2020.acl-main.526,2020,ACL,0,0
2020.acl-main.527,2020,ACL,0,0
2020.acl-main.528,2020,ACL,1,0
2020.acl-main.529,2020,ACL,0,0
2020.acl-main.53,2020,ACL,0,0
2020.acl-main.530,2020,ACL,0,0
2020.acl-main.531,2020,ACL,0,0
2020.acl-main.532,2020,ACL,0,0
2020.acl-main.533,2020,ACL,0,0
2020.acl-main.534,2020,ACL,0,0
2020.acl-main.535,2020,ACL,0,0
2020.acl-main.536,2020,ACL,1,1
2020.acl-main.537,2020,ACL,0,0
2020.acl-main.538,2020,ACL,0,0
2020.acl-main.539,2020,ACL,1,0
2020.acl-main.54,2020,ACL,0,0
2020.acl-main.540,2020,ACL,0,0
2020.acl-main.541,2020,ACL,0,0
2020.acl-main.542,2020,ACL,0,0
2020.acl-main.543,2020,ACL,0,0
2020.acl-main.544,2020,ACL,0,0
2020.acl-main.545,2020,ACL,0,0
2020.acl-main.546,2020,ACL,0,0
2020.acl-main.547,2020,ACL,0,0
2020.acl-main.548,2020,ACL,0,0
2020.acl-main.549,2020,ACL,0,0
2020.acl-main.55,2020,ACL,0,0
2020.acl-main.550,2020,ACL,0,0
2020.acl-main.551,2020,ACL,0,0
2020.acl-main.552,2020,ACL,1,1
2020.acl-main.553,2020,ACL,1,1
2020.acl-main.554,2020,ACL,0,0
2020.acl-main.555,2020,ACL,1,1
2020.acl-main.556,2020,ACL,0,0
2020.acl-main.557,2020,ACL,0,0
2020.acl-main.558,2020,ACL,0,0
2020.acl-main.559,2020,ACL,0,0
2020.acl-main.56,2020,ACL,0,0
2020.acl-main.560,2020,ACL,0,0
2020.acl-main.561,2020,ACL,0,0
2020.acl-main.562,2020,ACL,0,0
2020.acl-main.563,2020,ACL,0,0
2020.acl-main.564,2020,ACL,0,0
2020.acl-main.565,2020,ACL,0,0
2020.acl-main.566,2020,ACL,0,0
2020.acl-main.567,2020,ACL,0,0
2020.acl-main.568,2020,ACL,0,0
