paper_id,year,openalex_work_id,first_author_openalex_id,last_author_openalex_id,author_count_openalex,institution_count_openalex,author_id_coverage,institution_id_coverage,author_history_coverage,institution_history_coverage,author_prior_citations_3y_max_log1p,author_prior_works_3y_mean_log1p,institution_prior_citations_3y_max_log1p,has_code_url,has_model_url,has_data_url,has_public_artifact,history_window_years
2020.emnlp-main.108,2020,W3104152666,A5084990301,A5101640515,5,3,1,1,1,1,7.9113240189633531,2.7212954278522306,12.914349788766916,0,0,0,0,3
2020.emnlp-main.11,2020,W3022845607,A5017986865,A5083735830,2,1,1,1,1,1,6.0591231955817966,3.1135153092103742,13.51513357841994,0,0,0,0,3
2020.emnlp-main.110,2020,W3101900272,A5048901866,A5044130443,3,2,1,1,1,1,6.6012301187288767,3.0122615755052013,13.391069031155592,0,0,0,0,3
2020.emnlp-main.111,2020,W3102372184,A5108815041,A5101881099,5,3,1,1,1,1,7.1693500166705997,2.653241964607215,13.811854884123598,0,0,0,0,3
2020.emnlp-main.113,2020,W3102632267,A5044671587,A5068060952,3,1,1,1,1,1,6.8772960714974287,2.5649493574615367,13.810834642892672,0,0,0,0,3
2020.emnlp-main.114,2020,W3098630015,A5100611571,A5047856952,5,3,1,1,1,1,7.0387835413885416,2.7212954278522306,14.6860090474076,0,0,0,0,3
2020.emnlp-main.117,2020,W3103694015,A5003608048,A5038969629,6,1,1,1,1,1,9.6106589259314674,2.9356283494842854,15.00045496520046,0,0,0,0,3
2020.emnlp-main.120,2020,W3096299031,A5052875434,A5046006076,4,2,1,1,1,1,9.2779990204499967,3.3672958299864741,15.00045496520046,0,1,0,1,3
2020.emnlp-main.121,2020,W3092367931,A5059930218,A5078390032,2,1,1,1,1,1,6.6871086078665147,2.917770732084279,13.892964070409093,0,0,0,0,3
2020.emnlp-main.124,2020,W3100652389,A5100456377,A5086674741,5,3,1,1,1,1,8.3820605174247405,3.3603753871419002,11.720882279356012,0,0,0,0,3
