anthology_id,venue_dir,venue,year,award,title,source_url,pdf_url
2023.acl-long.796,2023.acl-long,ACL,2023,Theme Paper Award,Weaker Than You Think: A Critical Look at Weakly Supervised Learning,https://aclanthology.org/2023.acl-long.796/,https://aclanthology.org/2023.acl-long.796.pdf
2023.acl-long.810,2023.acl-long,ACL,2023,Outstanding Paper Award,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,https://aclanthology.org/2023.acl-long.810/,https://aclanthology.org/2023.acl-long.810.pdf
2023.acl-long.820,2023.acl-long,ACL,2023,Area Chair Award (Resources and Evaluation),Tell2Design: A Dataset for Language-Guided Floor Plan Generation,https://aclanthology.org/2023.acl-long.820/,https://aclanthology.org/2023.acl-long.820.pdf
2023.acl-long.827,2023.acl-long,ACL,2023,"Area Chair Award (Sentiment Analysis, Stylistic Analysis, and Argument Mining)",StoryTrans: Non-Parallel Story Author-Style Transfer with Discourse Representations and Content Enhancing,https://aclanthology.org/2023.acl-long.827/,https://aclanthology.org/2023.acl-long.827.pdf
2023.acl-long.848,2023.acl-long,ACL,2023,Area Chair Award (Speech and Multimodality),Hearing Lips in Noise: Universal Viseme-Phoneme Mapping and Transfer for Robust Audio-Visual Speech Recognition,https://aclanthology.org/2023.acl-long.848/,https://aclanthology.org/2023.acl-long.848.pdf
2023.acl-long.852,2023.acl-long,ACL,2023,Outstanding Paper Award,Knowledge Transfer in Incremental Learning for Multilingual Neural Machine Translation,https://aclanthology.org/2023.acl-long.852/,https://aclanthology.org/2023.acl-long.852.pdf
2024.acl-long.1,2024.acl-long,ACL,2024,Outstanding Paper Award,Quantized Side Tuning: Fast and Memory-Efficient Tuning of Quantized Large Language Models,https://aclanthology.org/2024.acl-long.1/,https://aclanthology.org/2024.acl-long.1.pdf
2024.acl-long.341,2024.acl-long,ACL,2024,SAC Award: Discourse and Pragmatics,Discursive Socratic Questioning: Evaluating the Faithfulness of Language Models’ Understanding of Discourse Relations,https://aclanthology.org/2024.acl-long.341/,https://aclanthology.org/2024.acl-long.341.pdf
2024.acl-long.776,2024.acl-long,ACL,2024,Outstanding Paper Award,L-Eval: Instituting Standardized Evaluation for Long Context Language Models,https://aclanthology.org/2024.acl-long.776/,https://aclanthology.org/2024.acl-long.776.pdf
2024.acl-long.784,2024.acl-long,ACL,2024,SAC Award: Semantics(Lexical),Distributional Inclusion Hypothesis and Quantifications: Probing for Hypernymy in Functional Distributional Semantics,https://aclanthology.org/2024.acl-long.784/,https://aclanthology.org/2024.acl-long.784.pdf
2024.acl-long.785,2024.acl-long,ACL,2024,Outstanding Paper Award,CausalGym: Benchmarking causal interpretability methods on linguistic tasks,https://aclanthology.org/2024.acl-long.785/,https://aclanthology.org/2024.acl-long.785.pdf
2024.acl-long.786,2024.acl-long,ACL,2024,Outstanding Paper Award,"Don’t Hallucinate, Abstain: Identifying LLM Knowledge Gaps via Multi-LLM Collaboration",https://aclanthology.org/2024.acl-long.786/,https://aclanthology.org/2024.acl-long.786.pdf
2024.acl-long.787,2024.acl-long,ACL,2024,Best Paper Award,Mission: Impossible Language Models,https://aclanthology.org/2024.acl-long.787/,https://aclanthology.org/2024.acl-long.787.pdf
2024.acl-long.788,2024.acl-long,ACL,2024,Best Paper Award,Semisupervised Neural Proto-Language Reconstruction,https://aclanthology.org/2024.acl-long.788/,https://aclanthology.org/2024.acl-long.788.pdf
2024.acl-long.799,2024.acl-long,ACL,2024,Best Resource Paper Award,Latxa: An Open Language Model and Evaluation Suite for Basque,https://aclanthology.org/2024.acl-long.799/,https://aclanthology.org/2024.acl-long.799.pdf
2024.acl-long.805,2024.acl-long,ACL,2024,Outstanding Paper Award,MultiLegalPile: A 689GB Multilingual Legal Corpus,https://aclanthology.org/2024.acl-long.805/,https://aclanthology.org/2024.acl-long.805.pdf
2024.acl-long.813,2024.acl-long,ACL,2024,Outstanding Paper Award,Can Large Language Models be Good Emotional Supporter? Mitigating Preference Bias on Emotional Support Conversation,https://aclanthology.org/2024.acl-long.813/,https://aclanthology.org/2024.acl-long.813.pdf
2024.acl-long.816,2024.acl-long,ACL,2024,Outstanding Paper Award,Political Compass or Spinning Arrow? Towards More Meaningful Evaluations for Values and Opinions in Large Language Models,https://aclanthology.org/2024.acl-long.816/,https://aclanthology.org/2024.acl-long.816.pdf
2024.acl-long.817,2024.acl-long,ACL,2024,SAC Award: Multilinguality and Language Diversity,AI ‘News’ Content Farms Are Easy to Make and Hard to Detect: A Case Study in Italian,https://aclanthology.org/2024.acl-long.817/,https://aclanthology.org/2024.acl-long.817.pdf
2024.acl-long.821,2024.acl-long,ACL,2024,Outstanding Paper Award,G-DIG: Towards Gradient-based DIverse and hiGh-quality Instruction Data Selection for Machine Translation,https://aclanthology.org/2024.acl-long.821/,https://aclanthology.org/2024.acl-long.821.pdf
2024.acl-long.823,2024.acl-long,ACL,2024,Outstanding Paper Award,SPZ: A Semantic Perturbation-based Data Augmentation Method with Zonal-Mixing for Alzheimer’s Disease Detection,https://aclanthology.org/2024.acl-long.823/,https://aclanthology.org/2024.acl-long.823.pdf
2024.acl-long.828,2024.acl-long,ACL,2024,Outstanding Paper Award,Steering Llama 2 via Contrastive Activation Addition,https://aclanthology.org/2024.acl-long.828/,https://aclanthology.org/2024.acl-long.828.pdf
2024.acl-long.831,2024.acl-long,ACL,2024,Best Paper Award,Deciphering Oracle Bone Language with Diffusion Models,https://aclanthology.org/2024.acl-long.831/,https://aclanthology.org/2024.acl-long.831.pdf
2024.acl-long.834,2024.acl-long,ACL,2024,Best Paper Award,Causal Estimation of Memorisation Profiles,https://aclanthology.org/2024.acl-long.834/,https://aclanthology.org/2024.acl-long.834.pdf
2024.acl-long.840,2024.acl-long,ACL,2024,Best Resource Paper Award,Dolma: an Open Corpus of Three Trillion Tokens for Language Model Pretraining Research,https://aclanthology.org/2024.acl-long.840/,https://aclanthology.org/2024.acl-long.840.pdf
2024.acl-long.841,2024.acl-long,ACL,2024,Best Theme Paper Award,OLMo: Accelerating the Science of Language Models,https://aclanthology.org/2024.acl-long.841/,https://aclanthology.org/2024.acl-long.841.pdf
