paper_id,track,year,venue,model_reported,strict_reported
2020.findings-emnlp.373,findings,2020,EMNLP,0,0
2020.findings-emnlp.374,findings,2020,EMNLP,0,0
2020.findings-emnlp.375,findings,2020,EMNLP,0,0
2020.findings-emnlp.376,findings,2020,EMNLP,0,0
2020.findings-emnlp.377,findings,2020,EMNLP,1,0
2020.findings-emnlp.378,findings,2020,EMNLP,0,0
2020.findings-emnlp.379,findings,2020,EMNLP,1,0
2020.findings-emnlp.38,findings,2020,EMNLP,0,0
2020.findings-emnlp.380,findings,2020,EMNLP,0,0
2020.findings-emnlp.381,findings,2020,EMNLP,1,0
2020.findings-emnlp.382,findings,2020,EMNLP,0,0
2020.findings-emnlp.383,findings,2020,EMNLP,0,0
2020.findings-emnlp.384,findings,2020,EMNLP,0,0
2020.findings-emnlp.385,findings,2020,EMNLP,0,0
2020.findings-emnlp.386,findings,2020,EMNLP,0,0
2020.findings-emnlp.387,findings,2020,EMNLP,1,1
2020.findings-emnlp.388,findings,2020,EMNLP,0,0
2020.findings-emnlp.389,findings,2020,EMNLP,0,0
2020.findings-emnlp.39,findings,2020,EMNLP,1,1
2020.findings-emnlp.390,findings,2020,EMNLP,1,1
2020.findings-emnlp.391,findings,2020,EMNLP,1,1
2020.findings-emnlp.392,findings,2020,EMNLP,1,0
2020.findings-emnlp.393,findings,2020,EMNLP,1,1
2020.findings-emnlp.394,findings,2020,EMNLP,1,1
2020.findings-emnlp.395,findings,2020,EMNLP,0,0
2020.findings-emnlp.396,findings,2020,EMNLP,1,1
2020.findings-emnlp.397,findings,2020,EMNLP,0,0
2020.findings-emnlp.398,findings,2020,EMNLP,1,0
2020.findings-emnlp.399,findings,2020,EMNLP,1,0
2020.findings-emnlp.4,findings,2020,EMNLP,1,0
2020.findings-emnlp.40,findings,2020,EMNLP,0,0
2020.findings-emnlp.400,findings,2020,EMNLP,0,0
2020.findings-emnlp.401,findings,2020,EMNLP,0,0
2020.findings-emnlp.402,findings,2020,EMNLP,1,1
2020.findings-emnlp.403,findings,2020,EMNLP,0,0
2020.findings-emnlp.404,findings,2020,EMNLP,0,0
2020.findings-emnlp.405,findings,2020,EMNLP,1,0
2020.findings-emnlp.406,findings,2020,EMNLP,0,0
2020.findings-emnlp.407,findings,2020,EMNLP,0,0
2020.findings-emnlp.408,findings,2020,EMNLP,0,0
2020.findings-emnlp.409,findings,2020,EMNLP,0,0
2020.findings-emnlp.41,findings,2020,EMNLP,1,0
2020.findings-emnlp.410,findings,2020,EMNLP,1,0
2020.findings-emnlp.411,findings,2020,EMNLP,0,0
2020.findings-emnlp.412,findings,2020,EMNLP,1,1
2020.findings-emnlp.413,findings,2020,EMNLP,0,0
2020.findings-emnlp.414,findings,2020,EMNLP,0,0
2020.findings-emnlp.415,findings,2020,EMNLP,0,0
2020.findings-emnlp.416,findings,2020,EMNLP,1,0
2020.findings-emnlp.417,findings,2020,EMNLP,0,0
2020.findings-emnlp.418,findings,2020,EMNLP,1,1
2020.findings-emnlp.419,findings,2020,EMNLP,1,0
2020.findings-emnlp.42,findings,2020,EMNLP,1,0
2020.findings-emnlp.420,findings,2020,EMNLP,0,0
2020.findings-emnlp.421,findings,2020,EMNLP,0,0
2020.findings-emnlp.422,findings,2020,EMNLP,0,0
2020.findings-emnlp.423,findings,2020,EMNLP,1,0
2020.findings-emnlp.424,findings,2020,EMNLP,0,0
2020.findings-emnlp.425,findings,2020,EMNLP,1,1
2020.findings-emnlp.426,findings,2020,EMNLP,0,0
